신한카드 이용대금명세서
조회기간: 2025.03.01 ~ 2026.09.01

이용일자,가맹점명,이용금액,결제수단
2026.03.23,"ADOBE CREATIVE CLOUD","24,000",신한체크 1234
2026.03.24,"이마트24","10,699",신한체크 1234
2026.03.25,"배달의민족","6,622",신한체크 1234
2026.03.25,"배달의민족","4,065",신한체크 1234
2026.03.26,"쿠팡(주) 와우멤버십","7,890",신한체크 1234
2026.03.26,"투썸플레이스","7,044",신한체크 1234
2026.03.26,"투썸플레이스","21,278",신한체크 1234
2026.04.02,"JETBRAINS AMERICAS INC","189,000",신한체크 1234
2026.04.02,"카카오T","40,243",신한체크 1234
2026.04.03,"GOOGLE *YouTube Premium","14,900",신한체크 1234
2026.04.05,"짐앤짐휘트니스","89,000",신한체크 1234
2026.04.07,"OPENAI *CHATGPT SUBSCR","29,800",신한체크 1234
2026.04.09,"APPLE.COM/BILL","1,100",신한체크 1234
2026.04.09,"스타벅스","31,307",신한체크 1234
2026.04.10,"배달의민족","19,614",신한체크 1234
2026.04.11,"GOOGLE *Google One","2,400",신한체크 1234
2026.04.12,"스타벅스","20,044",신한체크 1234
2026.04.12,"올리브영","8,716",신한체크 1234
2026.04.13,"투썸플레이스","2,682",신한체크 1234
2026.04.13,"올리브영","10,770",신한체크 1234
2026.04.13,"올리브영","35,461",신한체크 1234
2026.04.14,"(주)넷플릭스서비시스코리아","17,000",신한체크 1234
2026.04.15,"투썸플레이스","29,448",신한체크 1234
2026.04.17,"GS25","5,339",신한체크 1234
2026.04.18,"(주)티빙","13,900",신한체크 1234
2026.04.20,"투썸플레이스","4,193",신한체크 1234
2026.04.21,"SPOTIFY P0A1B2C3","11,990",신한체크 1234
2026.04.22,"배달의민족","22,164",신한체크 1234
2026.04.22,"카카오T","11,155",신한체크 1234
2026.04.23,"ADOBE CREATIVE CLOUD","24,000",신한체크 1234
2026.04.26,"쿠팡(주) 와우멤버십","7,890",신한체크 1234
2026.04.28,"쿠팡(주)","16,688",신한체크 1234
2026.05.02,"투썸플레이스","15,203",신한체크 1234
2026.05.03,"GOOGLE *YouTube Premium","14,900",신한체크 1234
2026.05.03,"카카오T","30,779",신한체크 1234
2026.05.05,"짐앤짐휘트니스","89,000",신한체크 1234
2026.05.07,"OPENAI *CHATGPT SUBSCR","29,800",신한체크 1234
2026.05.08,"이마트24","3,319",신한체크 1234
2026.05.09,"APPLE.COM/BILL","1,100",신한체크 1234
2026.05.09,"올리브영","33,169",신한체크 1234
2026.05.11,"GOOGLE *Google One","2,400",신한체크 1234
2026.05.12,"스타벅스","1,952",신한체크 1234
2026.05.12,"GS25","20,417",신한체크 1234
2026.05.12,"GS25","27,306",신한체크 1234
2026.05.13,"스타벅스","8,997",신한체크 1234
2026.05.14,"(주)넷플릭스서비시스코리아","17,000",신한체크 1234
2026.05.18,"(주)티빙","13,900",신한체크 1234
2026.05.20,"카카오T","28,341",신한체크 1234
2026.05.20,"쿠팡(주)","26,542",신한체크 1234
2026.05.21,"SPOTIFY P0A1B2C3","11,990",신한체크 1234
2026.05.23,"ADOBE CREATIVE CLOUD","24,000",신한체크 1234
2026.05.25,"이마트24","33,094",신한체크 1234
2026.05.26,"쿠팡(주) 와우멤버십","7,890",신한체크 1234
2026.06.02,"이마트24","1,872",신한체크 1234
2026.06.03,"GOOGLE *YouTube Premium","14,900",신한체크 1234
2026.06.03,"투썸플레이스","40,542",신한체크 1234
2026.06.04,"올리브영","30,636",신한체크 1234
2026.06.05,"짐앤짐휘트니스","89,000",신한체크 1234
2026.06.05,"스타벅스","2,232",신한체크 1234
2026.06.06,"쿠팡(주)","4,486",신한체크 1234
2026.06.07,"OPENAI *CHATGPT SUBSCR","29,800",신한체크 1234
2026.06.07,"이마트24","8,863",신한체크 1234
2026.06.09,"APPLE.COM/BILL","1,100",신한체크 1234
2026.06.09,"쿠팡(주)","13,839",신한체크 1234
2026.06.09,"투썸플레이스","38,637",신한체크 1234
2026.06.09,"스타벅스","5,325",신한체크 1234
2026.06.11,"GOOGLE *Google One","2,400",신한체크 1234
2026.06.11,"GS25","32,430",신한체크 1234
2026.06.14,"(주)넷플릭스서비시스코리아","17,000",신한체크 1234
2026.06.16,"배달의민족","41,018",신한체크 1234
2026.06.16,"투썸플레이스","14,538",신한체크 1234
2026.06.18,"(주)티빙","13,900",신한체크 1234
2026.06.18,"카카오T","24,886",신한체크 1234
2026.06.18,"쿠팡(주)","2,402",신한체크 1234
2026.06.18,"이마트24","35,955",신한체크 1234
2026.06.19,"GS25","12,261",신한체크 1234
2026.06.21,"SPOTIFY P0A1B2C3","11,990",신한체크 1234
2026.06.23,"ADOBE CREATIVE CLOUD","24,000",신한체크 1234
2026.06.26,"쿠팡(주) 와우멤버십","7,890",신한체크 1234
2026.06.27,"투썸플레이스","29,305",신한체크 1234
2026.06.28,"배달의민족","17,067",신한체크 1234
2026.07.03,"GOOGLE *YouTube Premium","14,900",신한체크 1234
2026.07.03,"배달의민족","41,129",신한체크 1234
2026.07.05,"짐앤짐휘트니스","89,000",신한체크 1234
2026.07.06,"쿠팡(주)","11,149",신한체크 1234
2026.07.07,"OPENAI *CHATGPT SUBSCR","29,800",신한체크 1234
2026.07.09,"APPLE.COM/BILL","1,100",신한체크 1234
2026.07.11,"GOOGLE *Google One","2,400",신한체크 1234
2026.07.14,"(주)넷플릭스서비시스코리아","17,000",신한체크 1234
2026.07.18,"(주)티빙","13,900",신한체크 1234
2026.07.18,"이마트24","19,152",신한체크 1234
2026.07.18,"스타벅스","11,994",신한체크 1234
2026.07.20,"GS25","8,030",신한체크 1234
2026.07.21,"SPOTIFY P0A1B2C3","11,990",신한체크 1234
2026.07.21,"카카오T","17,096",신한체크 1234
2026.07.23,"ADOBE CREATIVE CLOUD","24,000",신한체크 1234
2026.07.23,"스타벅스","18,381",신한체크 1234
2026.07.24,"카카오T","15,476",신한체크 1234
2026.07.24,"GS25","10,532",신한체크 1234
2026.07.26,"쿠팡(주) 와우멤버십","7,890",신한체크 1234
2026.07.26,"이마트24","3,148",신한체크 1234
2026.07.27,"배달의민족","18,766",신한체크 1234
2026.08.01,"스타벅스","15,727",신한체크 1234
2026.08.02,"배달의민족","22,298",신한체크 1234
2026.08.03,"GOOGLE *YouTube Premium","14,900",신한체크 1234
2026.08.05,"짐앤짐휘트니스","89,000",신한체크 1234
2026.08.05,"투썸플레이스","11,136",신한체크 1234
2026.08.05,"카카오T","5,165",신한체크 1234
2026.08.06,"이마트24","36,595",신한체크 1234
2026.08.07,"OPENAI *CHATGPT SUBSCR","29,800",신한체크 1234
2026.08.07,"배달의민족","41,381",신한체크 1234
2026.08.08,"쿠팡(주)","30,367",신한체크 1234
2026.08.09,"APPLE.COM/BILL","1,100",신한체크 1234
2026.08.11,"GOOGLE *Google One","2,400",신한체크 1234
2026.08.12,"배달의민족","30,703",신한체크 1234
2026.08.14,"(주)넷플릭스서비시스코리아","17,000",신한체크 1234
2026.08.15,"배달의민족","15,390",신한체크 1234
2026.08.17,"올리브영","27,558",신한체크 1234
2026.08.18,"(주)티빙","13,900",신한체크 1234
2026.08.21,"SPOTIFY P0A1B2C3","11,990",신한체크 1234
2026.08.23,"ADOBE CREATIVE CLOUD","24,000",신한체크 1234
2026.08.26,"쿠팡(주) 와우멤버십","7,890",신한체크 1234
2026.08.26,"이마트24","35,090",신한체크 1234
2026.08.28,"배달의민족","27,360",신한체크 1234
